web-scraper-order,web-scraper-start-url,title,img-src,price
"1620172432-33","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Yankee Candle Large Jar Candle, Coconut Beach","","14."
"1620172432-20","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Yankee Candle Large Jar Candle Lilac Blossoms","","14."
"1620172432-82","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/81Pnt2a0KzL._AC_UL320_.jpg","14."
"1620172432-84","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/81XWhtuylYL._AC_UL320_.jpg","14."
"1620172432-47","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Aroma Naturals Patchouli and Frankincense Essential Oil White Scented Pillar Candle, Meditation, 2.5 inch x 4 inch","","14."
"1620172432-97","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/619bdG8H+pL._AC_UL320_.jpg","14."
"1620172432-91","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/61lRJIbYmvL._AC_UL320_.jpg","14."
"1620172432-59","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Glade Candle Jar, Air Freshener, 2in1, Moonlit Walk & Wandering Stream, 3.4 Ounce","","14."
"1620172432-103","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/718CDy74jiS._AC_UL320_.jpg","14."
"1620172432-31","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Homesick Candle Scented, Hawaii, Pineapple","","14."
"1620172432-104","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71j8LKW3X-L._AC_UL320_.jpg","14."
"1620172432-93","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/410j8S1dSNL._AC_UL320_.jpg","14."
"1620172432-18","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Mrs. MEYER'S CLEAN DAY Scented Soy Aromatherapy Candle, 35 Hour Burn Time, Made with Soy Wax, Honeysuckle, 7.2 oz","","14."
"1620172432-41","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Urban Concepts by DECOCANDLES | Tranquility - Lemongrass & Wild Basil - Highly Scented Candle - Long Lasting - Hand Poured in The USA - Signature Scent for The Amanyara Resort Turks & Caicos - 6.7 Oz.","","14."
"1620172432-61","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Mia's Co Grapefruit Scented Candle, Handmade with Natural Soy Wax and Cotton Wicks, 7.5 oz Minimalist Aromatherapy Candle for Home, Long Lasting Burning for Stress Relief, Candle Gift for Women","","14."
"1620172432-35","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Glade Candle Jar, Air Freshener, Apple Cinnamon, 3.4 oz","","14."
"1620172432-105","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/81GzwaiPERL._AC_UL320_.jpg","14."
"1620172432-54","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Yankee Candle Lemon Lavender, Large 2-Wick Tumbler","","14."
"1620172432-102","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/61BWTqj0TzL._AC_UL320_.jpg","14."
"1620172432-28","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Yankee Candle Large Jar Candle Lemon Lavender","","14."
"1620172432-79","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71LDnz6Sn6L._AC_UL320_.jpg","14."
"1620172432-86","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/910lSrQ2YTL._AC_UL320_.jpg","14."
"1620172432-90","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/61djzoS5gvL._AC_UL320_.jpg","14."
"1620172432-37","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Scented Candles Gift Set, 4 Cans Made of 100% Natural Soy Wax with Essential Oils for Stress Relief, 4 Fragrances Use for Aromatherapy, Bath, Yoga, Perfect for Christmas, Birthday, Mother's Day","","14."
"1620172432-83","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71KupPcOtOL._AC_UL320_.jpg","14."
